Status;Name;Bundesland;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
D_Projekt in Planung;Karlsfeld Nord;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Laufzorn II;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/erdwaerme-gruenwald-erhaelt-61-millionen-euro-bundesfoerderung-fuer-neue-geothermie-bohrung?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;;;
D_Projekt in Planung;"Seefeld ""Vierseen""";Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Geiselbullach;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Waldweihnacht;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Chemiepark Gendorf;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;München-Feldmoching;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;München-Freimann;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;München-Milbertshofen (BMW);Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Neuperlach (Michaelibad);Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Altdorf ""Ziegelei""";Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Palling;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.geothermie-palling.de/presse;;;;;
D_Projekt in Planung;Pullach Süd;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Rupertiwinkel ""Ruperti II""";Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ampfing Geothermal;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Weilheim ""Hardtwiese""";Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Fürstenfeldbruck-Nord;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;GeoFwFreising;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Neufahrn-Eching;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Wolfratshausen;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Traunreut / Waging am See ;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Dachau-Nord;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Graben ""Lechfeld""";Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Traunstein;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;http://www.geothermie-traunstein.de/;;;;;
D_Projekt in Planung;Trostberg;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;;;;;;
D_Projekt in Planung;Erdwärme Vaterstetten;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ammersee-West;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Augsburg-Ost;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Aschau am Inn;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte;Seismik Giga-M;Bayern;Forschung;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Erdwärme Rosenheim;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Erdwärme Feldkirchen-Westerham;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Graming;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Würzburg;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Stadtwärme Neu-Ulm;Bayern;Geschlossenes tiefengeothermisches System;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nürnberg;Bayern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Campus Berlin-Buch;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Berlin;Berlin;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Brand;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Oranienburg;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Premnitz;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bernau;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Schwielowsee;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Prenzlau-Nord 2/Erdwärme ;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Neuruppin;Brandenburg;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/bohrung-in-neuruppin-erreicht-500-meter-marke?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;;;
D_Projekt in Planung;Karlshagen-Usedom;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;;;;
D_Projekt in Planung;Karlshagen-Usedom/Kaiserbäder Usedom;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;https://www.geothermie-karlshagen.de/;;;;;
D_Projekt in Planung;Neustrelitz;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Wismar;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Göhren-Lebbin;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.base.bund.de/SharedDocs/Downloads/BASE/DE/IP/einvernehmenserklaerung/Mecklenburg-Vorpommern/BASE-21102-08-A-0088.html;;;;;
D_Projekt in Planung;„Jarovit“ in Wolgast;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;„Vineta“ in Zinnowitz;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.parchim.de/de/news/news-2024/information-geothermie/;;;;;
D_Projekt in Planung;Parchim-Stadt;Mecklenburg-Vorpommern;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Stralsund;Mecklenburg-Vorpommern;3 Sonden vorhanden, nicht in Nutzung;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Poggenpohl;Niedersachsen;Hydrogeothermie;;;;;;;;;31.01.2025.;;;;;;;;;;;;;
D_Projekt in Planung;Wolfsburger Revier;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Braunschweig V;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Altwarmbüchener Moor;Niedersachsen;Hydrogeothermie;;;;;;;;; 15.11.2022 bis 14.11.2025;;;;;;;Nord.Becken;;NDEWG GmbH Fiskediek 7a 49809 Lingen (Ems);;;;
D_Projekt in Planung;Ilmenau I;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bentheimer Wald;Niedersachsen;Hydrogeothermie;;;;;;;;;14.06.2027.;;;;;;;;;;;;;
D_Projekt in Planung;Mühlenhofsweg;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Hannover-Buchholz ;Niedersachsen;Geschlossenes tiefengeothermisches System;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nordhorn;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Altencelle;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.lbeg.niedersachsen.de/aktuelles/pressemitteilungen/landkreis-celle-baker-hughes-inteq-gmbh-bekommt-feld-altencelle-zugeteilt-lbeg-erteilt-erlaubnis-zur-aufsuchung-von-erdwarme-221713.html;;;;;
D_Projekt in Planung;Ahnsbeck;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Göttingen I;Niedersachsen;Forschung;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Nordharz;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bad Fallingbostel;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Kleefeld;Niedersachsen;Hydrogeothermie;;;;;;;;;30.11.2024;;;;;;;Nord.Becken;;Eavor GmbH;;;;
D_Projekt in Planung;Munster-Bispingen;Niedersachsen;Hydrogeothermie;;;;5.000;;;;2025;;;;;;;;Nord.Becken;;;;;;
D_Projekt in Planung;Soltau;Niedersachsen;Hydrogeothermie;;;;;;;;;30.11.2024;;;;;;kommunal;Nord.Becken;;"Stadtwerke Soltau GmbH & Co. KG
Weinberg 46
29614 Soltau";;;;
D_Projekt in Planung;Borkum;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bissendorf;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Garbsen;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Horstberg (neu);Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Uelzen;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;kommunal;Nord.Becken;;"Stadtwerke Uelzen GmbH
Im Neuen Felde 105
29525 Uelzen";;;;
D_Projekt in Planung;Weyhe;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lüneburg I;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Barnstorf;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Kronsberg;Niedersachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Hemelingen;Bremen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Aachen-Weisweiler;Nordrhein-Westfalen;Forschung;;;;;;;;;25.08.2020-24.08.2025;;;;;;;;;;;;;
D_Projekt in Planung;"""Geothermie-Aachen""";Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;21.04.2023-20.04.2028;;;;;;;;;;;;;
D_Projekt in Planung;Aachen (Kreuz Aachen);Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;23.06.2022 bis 22.06.2025;;;;;;;;;Stadtwerke Aachen Aktiengesellschaft in Aachen;;;;
D_Projekt in Planung;Bochum 1 (Fraunhofer IEG), Zukunftsenergie;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;22.03.2012 bis 21.03.2025;;;;;;;;;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.;;;;
B_Projekt in Bau;Bochum 2 (Stadtwerke Bochum, Mark 51°7) ;Nordrhein-Westfalen;Grubenwasser;;;;;;;;;27.08.2022 bis 26.08.2027;;;;;;;;;Stadtwerke Bochum Holding GmbH;;;;
D_Projekt in Planung;Duisburg;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;06.08.2022 bis 05.08.2025;;;;;;;;;Stadtwerke Duisburg Aktiengesellschaft;;;;
B_Projekt in Bau;Krefeld/ Salvea - Lust auf grüne Energie;Nordrhein-Westfalen;Forschung;;;;;;;;;;;;;;;;;https://www.krefeld.de/de/inhalt/geologischer-dienst-plant-forschungsbohrung-in-krefeld/;;;;;
D_Projekt in Planung;Gelderland-Süd;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Kempener Westen;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Düsseldorf;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;02.07.2022 bis 01.07.2025;;;;;;;;https://www.duesseldorf.de/umweltamt/umwelt-und-verbraucherthemen-von-a-z/tiefengeothermie.html;Stadtwerke Düsseldorf AG;;;;
D_Projekt in Planung;"Oberhausen ""evo Geotherm""";Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Neukirchen-Vluyn ""ENNI Geothermie""";Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Rheinberg Geothermie;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Mülheim an der Ruhr ""medl-Geotherm""";Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;RheinEnergie Erdwärme;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Hagen;Nordrhein-Westfalen;Hydrogeothermie;;;130-160;3200-4100;;;;;"23.03.2019 bis 22.03.2024	";;;;;;;;https://www.kabelpaper.de/kabel-zero/aktuelles/;Kabel Premium Pulp & Paper GmbH;;;;
D_Projekt in Planung;Grüne-Wärme-Münster;Nordrhein-Westfalen;Hydrogeothermie;;;;;;;;2030;;;;;;;;;;;;;;
D_Projekt in Planung;"""Grumbeere""";Rheinland-Pfalz;Hyrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Margarete""";Rheinland-Pfalz;Grubenwasser;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Ulrike""";Rheinland-Pfalz;Grubenwasser;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Kerner""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"""Löwenherz""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Rülzheim ""Storchenaue""";Rheinland-Pfalz;Hyrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Bad Dürkheim ""Flaggenturm""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Eich-Hamm;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Haßloch ""Taro""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Ingelheim;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Kaltenbach;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lingenfeld;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Ludwigshafen 1""Ludwig""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Ludwigshafen 2""Therese""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lutrina;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Mainz;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Rift;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Kandel ""Bienwald""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Kaiserslautern ""Kasimir"" ";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Bertha bei Wörth;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;https://mbpassion.de/2023/10/daimler-truck-will-in-woerth-ueber-geothermie-waerme-gewinnen/;;;;;
D_Projekt in Planung;"Hagenbach ""Catharina Werde""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;"Schifferstadt ""Rhein-Pfalz""";Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Worms-Silbersee;Rheinland-Pfalz;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Dresden-Heidenau;Sachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Auerbach;Sachsen;Hydrogeothermie;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Silberberg;Sachsen;Petrothermale Geothermie;;;;;;;;;;;;;;;Stadtwerke Schneeberg;;;;;;;
D_Projekt in Planung;Vogtlandkreis;Sachsen;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.freiepresse.de/vogtland/plauen/geothermie-grossprojekt-am-geysir-im-vogtland-landrat-hofft-auf-kraftwerksbau-ab-2025-artikel13324080;;;;;
D_Projekt in Planung;Freiberg;Sachsen;Grubenwasser;;;;Eigentlich unter 400 m;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lampertheim I;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lampertheim II;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Luftbrücke;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;"Chemiepark Höchst und Frankfurter Flughafen
";https://www.irw-press.com/de/news/vulcan-erhaelt-neue-aufsuchungslizenz-in-der-region-frankfurt_72044.html?isin=AU0000066086;Vulcan ;;;;
D_Projekt in Planung;"Einhausen ""Jägersburg""";Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;Bei Biblis;https://rim.ekom21.de/lampertheim/sdnetrim/UGhVM0hpd2NXNFdFcExjZXszAKY_3xXBc9_taFXxMWeA5QJXA9haPZ1atK8RWJLv/Anlage2_Karte_zum_Ausschluss_von_Gebieten_mit_potenziellen_Nutzungskonflikten_fuer_das_Bohren.pdf;Eavor;;;;
D_Projekt in Planung;Ried;Hessen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Norderstedt;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Neumünster;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Lübeck;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Husum;Schleswig-Holstein;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Jeetze;Sachsen-Anhalt;Hydrogeothermie;;;;;;;;;;;;;;;;;;;Lithium und Thermalwasser in bestehenden Gasbohrungen;;;
D_Projekt in Planung;Sangerhausen;Sachsen-Anhalt;Grubenwasser;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Erfurt;Thüringen;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
;Templin;;;;;;;;;;;;;;;;;;;;;;;;
;;Saarland;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
